userName,score,at,content
Sg2parot11 0,1,2025-12-08 10:41:14,Saya ko tidak menerima nomor otp dari jkn
EryAyu ShintaDewi,5,2025-12-08 10:36:10,sangat membantu masyarakat
mancung tzy,5,2025-12-08 10:25:35,aplikasi ini sangat berguna🩷
Sandhikarta Solusindo Utama,5,2025-12-08 10:15:48,ok
Rian Variansyah,1,2025-12-08 10:13:54,bagaian aotu debet harus pake mama verifikasi ga keluar kodenya saya lau mindahin faske ga bisa bisa tolong ya saya ingin mindahin faskes
FZ Official,1,2025-12-08 10:04:42,Tolonglah masa cuman tutup app bentar buat lihat verifikasi WhatsApp langsung keulang proses daftarnya lagi
Firman Bastian,5,2025-12-08 09:57:18,mantap
irvan chanel,4,2025-12-08 09:54:11,suka erro aja sih klau sering2 di buka pdhal siyal full
Wahyu Din,5,2025-12-08 09:43:54,trmkasih
Kang Anas_81,5,2025-12-08 09:35:28,"Aplikasi yang sangat membantu, terimakasih"
